,id_question,question_description,subquestion_description,abbreviated_question
1196,1523,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",Aggressive behavior in traffic,Aggressive behavior in traffic is (sometimes) common in my neighbourhood
1197,1524,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",Street robbery,Street robbery is common in my neighborhood
1198,1525,To what extent do you agree with the following statements?,"In the past year I have become more active in volunteer work (association, church, politics, neighbourhoodà)",Became more active in volunteer work
1199,1526,How satisfied are you with the supply/proximity of the following facilities in your neighbourhood?,primary education,Satisfied with the supply of primary education in the area
1200,1527,The following statements are about the residents in your area. Can you indicate for each statement to what extent you agree or disagree?,I wouldn't be so quick to leave this neighborhood.,Don't leave this area any time soon
1201,1530,Do you have for your home:,Do you have: a working smoke detector,Working smoke detector for my home
1202,1531,Do you have the impression that the following occurs in your neighborhood and what are your feelings about it?,(Street) Prostitution,(Street) prostitution occurs in the area
1203,1532,Can you manage well when it comes to:,"your general daily activities: washing, dressing, going to the toilet, eating, etc.",Copes well with general daily activities
1204,1533,What were the main reasons you moved at the time?,Because of the house itself,Moved because of the house itself
1205,1534,Which of the following activity(s) applies to you?,I do paid work for less than 12 hours a week (1-11 hours).,Do paid work (1-11 hours per week)
1206,1536,Where or when was this?,At work / when finding work,Treated unfairly/unequally at work/when looking for work
1207,1537,To what extent do you agree with the following statements?,"In the past year I have become more active in volunteer work (association, church, politics, neighbourhoodà)",Became more active in volunteer work
1208,1538,How satisfied are you with the supply/proximity of the following facilities in your neighbourhood?,play facilities (for children up to 12 years old),Satisfied with the range of play facilities in the area
1209,1539,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",Violent crimes,Violent crime is (sometimes) common in my neighborhood
1210,1540,"Can you indicate for each of the following incidents or crimes whether, in your opinion, this often, sometimes or (almost) never occurs in your neighbourhood?",People harassed in the street,People being harassed on the street is (sometimes) common in my neighborhood
1211,1541,Do you want to sign up for,Feedback results,Specified for feedback results
1212,1542,"Have you or someone in your household been the victim of the following incidents in the past 12 months? And if so, did it happen in your own neighborhood or somewhere else?","Burglary in shed, garage or storage room",Been a victim of burglary in a barn/garage/storage room
1213,1544,How satisfied are you with the supply/proximity of the following facilities in your neighbourhood?,"facilities for the elderly (such as meeting places, daytime activities, etc.)",Satisfied with the provision of facilities for the elderly in the neighbourhood
1214,1545,Can you manage well when it comes to:,your psychological/mental health,Copes well with mental/mental health
1215,1546,How do you mainly meet the people in your neighbourhood? Choose up to 3 ways,Open answer to closed question,How do you mainly meet the people in your neighbourhood?
