VraagKey,VraagOmschrijving,DeelVraagOmschrijving,Verkorte_Vraagstelling
1239,Heeft u zich het afgelopen jaar actief ingezet voor uw buurt?,,Actief ingezet voor mijn buurt
1240,De volgende uitspraken gaan over de openbare ruimte in uw buurt. Kunt u voor elke uitspraak aangeven in hoeverre u het hiermee eens of oneens bent?,In mijn buurt is voldoende groen.,In mijn buurt is voldoende groen
1241,"Bent u zelf of is iemand uit uw huishouden de afgelopen 12 maanden het slachtoffer geweest van de volgende voorvallen? En zo ja, gebeurde dat in uw eigen buurt of ergens anders?","Diefstal van portemonnee, tas, telefoon, tablet of laptop",Slachtoffer geweest van diefstal portemonnee/tas/telefoon/tablet/laptop
1242,"Bent u zelf of is iemand uit uw huishouden de afgelopen 12 maanden het slachtoffer geweest van de volgende voorvallen? En zo ja, gebeurde dat in uw eigen buurt of ergens anders?",Huiselijk geweld,Slachtoffer geweest van huiselijk geweld
1243,"Is het volgende bij uzelf of iemand anders in uw huishouden, in de afgelopen 12 maanden, voorgekomen?",Hacken,Hacken voorgekomen in huishouden
1244,In hoeverre bent u het eens of oneens met onderstaande uitspraken over de gemeente?,De gemeente doet wat ze zegt.,De gemeente doet wat ze zegt
1245,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,Wil dichterbij ouders / kinderen gaan wonen,Verhuisd om dichterbij ouders / kinderen te gaan wonen
1246,Welke van de onderstaande activiteit(en) is of zijn op u van toepassing?,Ik ben gepensioneerd/met prT-pensioen.,Ben gepensioneerd/met pré-pensioen
1247,Wat vindt u van de volgende stellingen over uw huidige woning?,De huur / mijn hypotheek is eigenlijk te hoog voor mijn inkomen,Huur / Hypotheek eigenlijk te hoog voor mijn inkomen
1248,Hoe lang woont u in uw huidige woning?,,Hoe lang woont u in uw huidige woning?
1249,Waar willen we in deze buurt wel van af in de toekomst?,Open antwoord bij gesloten vraag,
1250,Hoe tevreden bent u over het aanbod / de nabijheid van de volgende voorzieningen in uw buurt ?,winkels voor dagelijkse boodschappen,Tevreden over winkels voor dagelijkse boodschappen
1251,Hoe vaak heeft een persoon of hebben personen met verward gedrag in de afgelopen 12 maanden overlast veroorzaakt in uw buurt?,Open antwoord bij gesloten vraag,
1252,Wat is de hoogste opleiding die u met een diploma heeft afgerond?,,Wat is de hoogste opleiding die u met een diploma heeft afgerond?
1253,Waarom heeft u geen melding gedaan bij de gemeente?,Het was niet zo belangrijk,Niet belangrijk om melding te doen bij de gemeente
1254,Hoe vaak heeft u de volgende activiteiten de afgelopen 12 maanden ondernomen in uw vrije tijd?,"Uitstapjes die geen geld kosten (wandelen, strand, het bos in, speeltuin).",Vaak uitstapjes gedaan die geen geld kosten
1255,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,Gunstige periode om woning te verkopen,Verhuisd vanwege gunstige periode om woning te verkopen
1256,Heeft u het idee dat het volgende in uw buurt voorkomt en wat zijn uw gevoelens daarbij?,Wietplantages,Wietplantages komen voor in de buurt
1257,Heeft u voor uw woning:,Heeft u: een werkende rookmelder,Werkende rookmelder voor mijn woning
1258,Vindt u dat er de afgelopen jaren sprake is van een toename van overlast door mensen met verward gedrag in uw buurt?,4 antwoorden,
1259," Welke huurprijs wilt u maximaal betalen bij verhuizing? Hierbij gaat het om de huurprijs zonder servicekosten, kosten voor parkeerplaats, kosten voor water, gas en licht en eventuele huurtoeslag.",,Maximale huurprijs  betaling bij verhuizing
1260,Hoe vaak heeft u de volgende activiteiten de afgelopen 12 maanden ondernomen in uw vrije tijd?,Afspreken met vrienden voor de gezelligheid of om samen leuke dingen te doen.,Vaak afspreken met vrienden
1261,Bent u iemand dieàà,zich door moeilijke tijden heen weet te slaan,Weet zich door moeilijke tijden heen te slaan
1262,Voelt u zich wel eens onveilig in uw eigen buurt?,,Voelt zich wel eens onveilig in eigen buurt
1263,Hoe waardeert u û over het algemeen û de werkzaamheden en de inzet van toezichthouders in uw buurt?,,Hoe waardeert u over het algemeen de werkzaamheden en de inzet van toezichthouders in uw buurt?
1264,Wilt u met een rapportcijfer aangeven hoe tevreden of ontevreden u bent over:,de zorg van bewoners voor hun woning en tuin,Tevreden over de zorg van bewoners voor hun woning en tuin
1265,Kunt u zich goed redden als het gaat om:,huishoudelijke taken,Kan zich goed redden met huishoudelijke taken
1266,Wilt u met een rapportcijfer aangeven hoe tevreden of ontevreden u bent over:,de veiligheid in uw buurt,Tevreden over de veiligheid in buurt
1267,Hoe vaak heeft u de volgende activiteiten de afgelopen 12 maanden ondernomen in uw vrije tijd?,"Culturele uitstapjes (theater, museum, filmfestival e.d.).",Vaak culturele uitstapjes gedaan
1268,Waar woonde u?,3 antwoorden,
1269,De volgende uitspraken gaan over de bewoners bij u in de buurt. Kunt u voor elke uitspraak aangeven in hoeverre u het hiermee eens of oneens bent?,De mensen in de buurt kennen elkaar nauwelijks.,De mensen in de buurt kennen elkaar nauwelijks
1270,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,"Iets anders, namelijk",
1271,"Hoe vaak heeft u dit buurthuis, dorps- of wijkcentrum bezocht (afgelopen 12 maanden)?",,Vaak buurthuis/dorpshuis of wijkcentrum bezocht
1272,Waar of wanneer was dit? ,Op School / opleiding / stage,Oneerlijk/ongelijk behandeld op school/opleiding/stage
1273,Waarom heeft u geen melding gedaan bij de gemeente?,Geen zin of tijd voor gehad,Geen zin/tijd gehad voor melding bij de gemeente
1274,Op basis waarvan werd u voor uw gevoel oneerlijk of ongelijk behandeld? ,Iets anders (herberekend zonder nvt),Iets anders (herberekend zonder nvt)
1275,"Bent u zelf of is iemand uit uw huishouden de afgelopen 12 maanden het slachtoffer geweest van de volgende voorvallen? En zo ja, gebeurde dat in uw eigen buurt of ergens anders?",Fietsendiefstal,Slachtoffer geweest van fietsendiefstal
1276,Hoe tevreden bent u over het aanbod / de nabijheid van de volgende voorzieningen in uw buurt ?,winkels voor dagelijkse boodschappen,Tevreden over winkels voor dagelijkse boodschappen
1277,Heeft u het afgelopen jaar vrijwilligerswerk gedaan?,,Heeft vrijwilligerswerk gedaan
1278,Welke van de onderstaande activiteit(en) is of zijn op u van toepassing?,Ik ben als zelfstandige werkzaam voor minder dan 12 uur in de week  (1-11 uur).,Werk als zelfstandige (1-11uur per week)
1279,"Bent u zelf of is iemand uit uw huishouden de afgelopen 12 maanden het slachtoffer geweest van de volgende voorvallen? En zo ja, gebeurde dat in uw eigen buurt of ergens anders?","Diefstal VAN auto, motor of scooter","Slachtoffer geweest van diefstal van auto, motor of scooter"
1280,Hoe ontmoet u vooral de mensen uit uw buurt? Kies maximaal 3 manieren,"Online (Facebook, Instagram, Snapchat, etc.)",Ontmoet de mensen uit mijn buurt online
1281,Komt het wel eens voor dat u à,bang bent dat u zelf slachtoffer wordt van criminaliteit?,Bang slachtoffer te worden van criminaliteit
1282,Wat is voor u de belangrijkste reden om binnen twee jaar te willen verhuizen? ,Open antwoord bij gesloten vraag,
1283,Welke van de onderstaande activiteit(en) is of zijn op u van toepassing?,"ik heb nu geen betaald werk, aar ben wl op zoek naar werk",Op zoek naar werk
1284,Hoe vaak heeft een persoon of hebben personen met verward gedrag in de afgelopen 12 maanden overlast veroorzaakt in uw buurt?,,Vaak overlast van personen met verward gedrag
1285,In welke van onderstaande verenigingen / organisaties bent u de afgelopen 12 maanden actief geweest? Sportvereniging,Overige (vrijetijds)vereniging,Actief bij overige (vrijetijds)vereniging
1286,Krijgt u ergens hulp bij?,Huishoudelijke taken,Krijg hulp bij huishoudelijke taken
1287,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?",Mensen die op straat worden lastig gevallen,Mensen die op straat  worden lastig gevallen komt (soms) vaak voor in mijn buurt
1288,De volgende uitspraken gaan over de bewoners bij u in de buurt. Kunt u voor elke uitspraak aangeven in hoeverre u het hiermee eens of oneens bent?,Ik heb veel contact met andere buurtbewoners.,Veel contact met andere buurtbewoners
1289,"Bent u zelf of is iemand uit uw huishouden de afgelopen 12 maanden het slachtoffer geweest van de volgende voorvallen? En zo ja, gebeurde dat in uw eigen buurt of ergens anders?",Mishandeling (buitenshuis),Slachtoffer geweest van mishandeling (buitenshuis)
1290,Krijgt u ergens hulp bij?,Het aangaan en onderhouden van sociale contacten,Hulp bij aangaan en onderhouden van sociale contacten
1291,In wat voor type woning woonde u hiervoor?,11 antwoorden,
1331,Komt het wel eens voor dat u à,uw kind(eren) niet toestaat ergens naartoe te gaan  bij u in de buurt omdat u het niet veilig vindt?,Onveilig in buurt voor kinderen
1292,Wat heeft u toen gedaan? (Meer antwoorden mogelijk),"Melding gedaan bij een andere organisatie: GGD Meldpunt Zorg & Overlast, crisisdienst, wijkteam, zorginstelling","Melding gedaan bij  ondere organisatie: GGD, Meldpunt Zorg & Overlast, crisisdienst, wijkteam, zorginstelling"
1293,"Heeft u of iemand in uw huishouden in de afgelopen 12 maanden te maken gehad met cyberpesten (roddel, getreiter, pesten, stalken, chantage of bedreiging via internet)?",Uw kind/(TTn van) uw kinderen,Kind(eren) te maken gehad met cyperpesten
1294,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,Vanwege studie / werk,Verhuisd vanwege studie/werken
1295,Hoeverre kunt u het leven leidien zoals u dat wilt,,
1296,Kunt u zich goed redden als het gaat om:,administratie/financidn,Kan zich goed redden met administratie/financiën
1297,Heeft u het idee dat het volgende in uw buurt voorkomt en wat zijn uw gevoelens daarbij?,(Leden van) Motorbendes,(Leden van) motorbendes komen voor in de buurt
1298,In hoeverre bent u het eens of oneens met onderstaande uitspraken?,De inzet van toezichthouders vergroot de veiligheid in mijn buurt.,De inzet van toezichthouders vergroot de veiligheid in mijn buurt.
1299,In hoeverre bent u het eens of oneens met onderstaande uitspraken over de gemeente?,De gemeente doet wat ze zegt.,De gemeente doet wat ze zegt
1300,Hoe ontmoet u vooral de mensen uit uw buurt? Kies maximaal 3 manieren,Op school / op het schoolplein,Ontmoet de mensen uit mijn buurt op school / op het schoolplein
1301,Wat heeft u toen gedaan? (Meer antwoorden mogelijk),"Iets anders, namelijk:",
1302,Wilt u zich opgeven voor,Vervolgonderzoek,Opgegeven voor vervolgonderzoek
1303,Kunt u zich goed redden als het gaat om: ,"het lopen, zitten en gaan staan (herberekend zonder nvt)","Kan zich goed redden met het lopen, zitten en gaan staan (herberekend zonder nvt)"
1304,Waar of wanneer was dit? ,In café / restaurant of ander uitgaansgelegenheid,Oneerlijk/ongelijk behandeld in café/restaurant of ander uitgaangsgelegenheid
1305,Komt het wel eens voor dat u à,in uw eigen buurt omloopt of omrijdt om onveilige plekken te vermijden?,loopt/rijd om om onveilige plekken te vermijden
1306,Beantwoord deze vraag alleen als uw kind / (TTn van) uw kinderen te maken gehad hebben met cyberpesten in de afgelopen 12 maanden. Wat was de leeftijd van uw kind tijdens de laatste keer dat dit gebeurde?,,Leeftijd van kind die te maken heeft gehad met cyberpesten
1307,Kunt u zich goed redden als het gaat om: ,uw lichamelijke gezondheid (herberekend zonder nvt),Kan zich goed redden met lichamelijke gezondheid (herberekend zonder nvt)
1308,Wilt u met een rapportcijfer aangeven hoe tevreden of ontevreden u bent over:,de veiligheid in uw buurt,Tevreden over de veiligheid in buurt
1309,In hoeverre bent u het eens of oneens met onderstaande uitspraken over de gemeente?,De gemeente doet een beroep op de buurtbewoners om zelf een bijdrage te leveren aan leefbaarheid en veiligheid.,De gemeente doet een beroep op de buurtbewoners om zelf een bijdrage te leveren aan leefbaarheid en veiligheid
1310,In wat voor type woning woonde u hiervoor?,,
1311,"Bent u zelf of is iemand uit uw huishouden de afgelopen 12 maanden het slachtoffer geweest van de volgende voorvallen? En zo ja, gebeurde dat in uw eigen buurt of ergens anders?","Diefstal VAN auto, motor of scooter","Slachtoffer geweest van diefstal van auto, motor of scooter"
1312,Kunt u via een rapportcijfer aangeven hoe tevreden u bent over de wijze waarop de gemeente zich inzet voor de leefbaarheid en veiligheid bij u in de buurt?,,Rapportcijfer inzet gemeente voor de leefbaarheid en veiligheid in de buurt
1313,"Wilt u van elk van de volgende uitspraken aangeven in hoeverre die op u, zoals u de laatste tijd bent, van toepassing is?",Er zijn voldoende mensen met wie ik mij nauw verbonden voel.,Voldoende mensen met wie ik mij nauw verbonden voel
1314,Welke van de onderstaande activiteit(en) is of zijn op u van toepassing?,Ik studeer/volg een opleiding/zit op school.,Studeer/volg een opleiding/zit op school
1315,Hoe lang woont u in uw huidige woning?,,Hoe lang woont u in uw huidige woning?
1316,"Bent u zelf of is iemand uit uw huishouden de afgelopen 12 maanden het slachtoffer geweest van de volgende voorvallen? En zo ja, gebeurde dat in uw eigen buurt of ergens anders?","Inbraak in schuur, garage of berging",Slachtoffer  geweest van  inbraak  in schuur/garage/berging
1317,Wat vindt u van de volgende stellingen over uw huidige woning?,Het is een prettige woning.,Prettige woning
1318,Wat is voor u de belangrijkste reden om binnen twee jaar te willen verhuizen? ,Open antwoord bij gesloten vraag,
1319,Wat waren de belangrijkste redenen dat u destijds bent verhuisd? ,Gezinsuitbreiding,Verhuisd om gezinsuitbreiding
1320,Waar of wanneer was dit? ,Op School / opleiding / stage (herberekend zonder nvt),Oneerlijk/ongelijk behandeld op school/opleiding/stage (herberekend zonder nvt)
1321,"Is uw huidige woning geschikt om zelfstandig te blijven wonen als u, bijv. door ouderdom, lichamelijke beperkingen heeft?",,Woning  geschikt om zelfstandig  te blijven wonen
1322,Kunt u zich goed redden als het gaat om:,huishoudelijke taken,Kan zich goed redden met huishoudelijke taken
1323,"Bent u zelf of is iemand uit uw huishouden de afgelopen 12 maanden het slachtoffer geweest van de volgende voorvallen? En zo ja, gebeurde dat in uw eigen buurt of ergens anders?","Diefstal van portemonnee, tas, telefoon, tablet of laptop",Slachtoffer geweest van diefstal portemonnee/tas/telefoon/tablet/laptop
1324,Voelt u zich wel eens eenzaam of alleen?,,Voel me eenzaam of alleen
1325,Krijgt u ergens hulp bij?,Het aangaan en onderhouden van sociale contacten,Hulp bij aangaan en onderhouden van sociale contacten
1326,"Kunt u voor elk van de volgende voorvallen of misdrijven aangeven of dit naar uw eigen idee vaak, soms of (bijna) nooit voorkomt in uw buurt?","Parkeerproblemen, bijvoorbeeld fout geparkeerde voertuigen of drukte",Parkeerproblemen komt (soms) vaak voor in mijn buurt
1327,Waar of wanneer was dit? ,Op straat in mijn buurt,Oneerlijk/ongelijk behandeld op straat in mijn buurt
1328,Welke van de onderstaande activiteit(en) is of zijn op u van toepassing?,Ik werk niet omdat ik langdurig ziek of arbeidsongeschikt ben.,Werk niet omdat ik langdurig ziek of arbeidsongeschikt ben
1329,Wilt u binnen twee jaar verhuizen?,,Wilt binnen 2 jaar verhuizen
1330,De volgende uitspraken gaan over de openbare ruimte in uw buurt. Kunt u voor elke uitspraak aangeven in hoeverre u het hiermee eens of oneens bent?,In mijn buurt is voldoende parkeergelegenheid.,In mijn buurt is voldoende parkeergelegenheid
1332,"Heeft u in de afgelopen 12 maanden een buurthuis, dorpshuis of wijkcentrum bezocht?",,Buurthuis/dorpshuis of wijkcentrum bezocht
1333,De volgende uitspraken gaan over de openbare ruimte in uw buurt. Kunt u voor elke uitspraak aangeven in hoeverre u het hiermee eens of oneens bent?,"Perken, plantsoenen en parken in mijn buurt zijn goed onderhouden.","Perken, plantsoenen en parken in mijn buurt zijn goed onderhouden"
1334,Wilt u zich opgeven voor,Verloting,Ogegeven voor verloting
1335,Waarom heeft u geen melding gedaan bij de gemeente?,Andere reden,
